dia,mes,radiacion_global
1,1,336.3
2,1,336.7
3,1,337.2
4,1,337.8
5,1,338.3
6,1,338.9
7,1,339.5
8,1,340.2
9,1,340.8
10,1,341.6
11,1,342.3
12,1,343.1
13,1,343.9
14,1,344.7
15,1,345.6
16,1,346.4
17,1,347.4
18,1,348.3
19,1,349.3
20,1,350.3
21,1,351.3
22,1,352.3
23,1,353.4
24,1,354.4
25,1,355.6
26,1,356.7
27,1,357.8
28,1,359
29,1,360.2
30,1,361.4
31,1,362.6
1,2,363.8
2,2,365.1
3,2,366.3
4,2,367.6
5,2,368.9
6,2,370.2
7,2,371.5
8,2,372.8
9,2,374.1
10,2,375.4
11,2,376.8
12,2,378.1
13,2,379.5
14,2,380.8
15,2,382.2
16,2,383.5
17,2,384.9
18,2,386.3
19,2,387.6
20,2,389
21,2,390.3
22,2,391.7
23,2,393
24,2,394.4
25,2,395.7
26,2,397.1
27,2,398.4
28,2,399.7
29,2,401
30,2,
31,2,
1,3,402.3
2,3,403.6
3,3,404.9
4,3,406.1
5,3,407.4
6,3,408.6
7,3,409.8
8,3,411
9,3,412.2
10,3,413.4
11,3,414.6
12,3,415.7
13,3,416.8
14,3,417.9
15,3,419
16,3,420.1
17,3,421.1
18,3,422.2
19,3,423.2
20,3,424.2
21,3,425.1
22,3,426.1
23,3,427
24,3,427.9
25,3,428.8
26,3,429.6
27,3,430.5
28,3,431.3
29,3,432
30,3,432.8
31,3,433.5
1,4,434.3
2,4,435
3,4,435.6
4,4,436.3
5,4,436.9
6,4,437.5
7,4,438.1
8,4,438.6
9,4,439.1
10,4,439.6
11,4,440.1
12,4,440.6
13,4,441
14,4,441.4
15,4,441.8
16,4,442.2
17,4,442.5
18,4,442.9
19,4,443.2
20,4,443.5
21,4,443.7
22,4,444
23,4,444.2
24,4,444.4
25,4,444.6
26,4,444.8
27,4,445
28,4,445.1
29,4,445.3
30,4,445.4
31,4,
1,5,445.5
2,5,445.5
3,5,445.6
4,5,445.7
5,5,445.7
6,5,445.7
7,5,445.8
8,5,445.8
9,5,445.8
10,5,445.8
11,5,445.7
12,5,445.7
13,5,445.7
14,5,445.6
15,5,445.5
16,5,445.5
17,5,445.4
18,5,445.3
19,5,445.3
20,5,445.2
21,5,445.1
22,5,445
23,5,444.9
24,5,444.8
25,5,444.7
26,5,444.6
27,5,444.5
28,5,444.3
29,5,444.2
30,5,444.1
31,5,444
1,6,443.9
2,6,443.8
3,6,443.7
4,6,443.6
5,6,443.5
6,6,443.4
7,6,443.3
8,6,443.2
9,6,443.1
10,6,443
11,6,442.9
12,6,442.8
13,6,442.7
14,6,442.7
15,6,442.6
16,6,442.5
17,6,442.5
18,6,442.4
19,6,442.3
20,6,442.3
21,6,442.2
22,6,442.2
23,6,442.2
24,6,442.1
25,6,442.1
26,6,442.1
27,6,442.1
28,6,442
29,6,442
30,6,442
31,6,
1,7,442
2,7,442
3,7,442
4,7,442
5,7,442
6,7,442.1
7,7,442.1
8,7,442.1
9,7,442.1
10,7,442.1
11,7,442.1
12,7,442.2
13,7,442.2
14,7,442.2
15,7,442.2
16,7,442.3
17,7,442.3
18,7,442.3
19,7,442.3
20,7,442.4
21,7,442.4
22,7,442.4
23,7,442.4
24,7,442.4
25,7,442.4
26,7,442.4
27,7,442.4
28,7,442.4
29,7,442.3
30,7,442.3
31,7,442.3
1,8,442.2
2,8,442.2
3,8,442.1
4,8,442
5,8,441.9
6,8,441.9
7,8,441.7
8,8,441.6
9,8,441.5
10,8,441.4
11,8,441.2
12,8,441
13,8,440.9
14,8,440.7
15,8,440.4
16,8,440.2
17,8,440
18,8,439.7
19,8,439.4
20,8,439.1
21,8,438.8
22,8,438.5
23,8,438.2
24,8,437.8
25,8,437.4
26,8,437
27,8,436.6
28,8,436.1
29,8,435.7
30,8,435.2
31,8,434.7
1,9,434.1
2,9,433.6
3,9,433
4,9,432.4
5,9,431.8
6,9,431.2
7,9,430.5
8,9,429.9
9,9,429.2
10,9,428.4
11,9,427.7
12,9,426.9
13,9,426.1
14,9,425.3
15,9,424.5
16,9,423.7
17,9,422.8
18,9,421.9
19,9,421
20,9,420.1
21,9,419.1
22,9,418.1
23,9,417.1
24,9,416.1
25,9,415.1
26,9,414.1
27,9,413
28,9,411.9
29,9,410.8
30,9,409.7
31,9,
1,10,408.6
2,10,407.4
3,10,406.3
4,10,405.1
5,10,403.9
6,10,402.7
7,10,401.5
8,10,400.3
9,10,399
10,10,397.8
11,10,396.5
12,10,395.3
13,10,394
14,10,392.7
15,10,391.5
16,10,390.2
17,10,388.9
18,10,387.6
19,10,386.3
20,10,385
21,10,383.7
22,10,382.4
23,10,381.1
24,10,379.8
25,10,378.5
26,10,377.2
27,10,375.9
28,10,374.6
29,10,373.3
30,10,372
31,10,370.7
1,11,369.5
2,11,368.2
3,11,367
4,11,365.7
5,11,364.5
6,11,363.3
7,11,362.1
8,11,360.9
9,11,359.8
10,11,358.6
11,11,357.5
12,11,356.4
13,11,355.3
14,11,354.2
15,11,353.1
16,11,352.1
17,11,351.1
18,11,350.1
19,11,349.1
20,11,348.2
21,11,347.3
22,11,346.4
23,11,345.5
24,11,344.6
25,11,343.8
26,11,343
27,11,342.3
28,11,341.5
29,11,340.8
30,11,340.2
31,11,
1,12,339.5
2,12,338.9
3,12,338.3
4,12,337.8
5,12,337.2
6,12,336.8
7,12,336.3
8,12,335.9
9,12,335.5
10,12,335.2
11,12,334.8
12,12,334.6
13,12,334.3
14,12,334.1
15,12,333.9
16,12,333.8
17,12,333.7
18,12,333.6
19,12,333.6
20,12,333.5
21,12,333.6
22,12,333.7
23,12,333.8
24,12,333.9
25,12,334.1
26,12,334.3
27,12,334.5
28,12,334.8
29,12,335.1
30,12,335.5
31,12,335.9
